S100A8|CAGA|MRP8 S100A9|CAGB|MRP14
HSPG2 FGF7|KGF
HSPG2 FGF7|KGF
FGF7|KGF HSPG2
HSPG2 FGF7|KGF
FGF7|KGF HSPG2
FGF7|KGF HSPG2
FGF7|KGF HSPG2
HSPG2 FGF7|KGF
HSPG2 FGF7|KGF
HSPG2 FGF7|KGF
HSPG2 FGF7|KGF
ETS1 DAXX|BING2
DAXX|BING2 ETS1
ETS1 DAXX|BING2
ESR1|NR3A1|ESR HET
HET ESR1|NR3A1|ESR
ESR1|NR3A1|ESR HET
ESR1|NR3A1|ESR HET
ESR1|NR3A1|ESR HET
ESR1|NR3A1|ESR HET
ESR1|NR3A1|ESR HET
ESR1|NR3A1|ESR HET
SHC NPM|NPM1|ALK
IRS1|IRS-1 NPM|NPM1|ALK
GRB2 NPM|NPM1|ALK
GRB2 NPM|NPM1|ALK
BMPR2|PPH1 BMPR2|PPH1
BMPR2|PPH1 BMPR1A|ACVRLK3
BMPR1A|ACVRLK3 BMPR2|PPH1
BMPR1A|ACVRLK3 BMPR2|PPH1
BMPR1A|ACVRLK3 BMPR1A|ACVRLK3
ALIEN NR0B1|AHC|DAX1
ALIEN NR0B1|AHC|DAX1
ALIEN NR0B1|AHC|DAX1
ALIEN NR0B1|AHC|DAX1
ALIEN THRB|NR1A2|ERBA2|THR1
ALIEN THRB|NR1A2|ERBA2|THR1
RNF4 PATZ
PATZ RNF4
RNF4 PATZ
RNF4 HMGA1|HMGIY
HMGA1|HMGIY RNF4
THRB|NR1A2|ERBA2|THR1 NR2F6|ERBAL2|EAR2
THRB|NR1A2|ERBA2|THR1 NR2F6|ERBAL2|EAR2
NR2F6|ERBAL2|EAR2 THRB|NR1A2|ERBA2|THR1
NR2F6|ERBAL2|EAR2 THRB|NR1A2|ERBA2|THR1
NR2F6|ERBAL2|EAR2 THRB|NR1A2|ERBA2|THR1
NR2F6|ERBAL2|EAR2 THRB|NR1A2|ERBA2|THR1
NR2F6|ERBAL2|EAR2 GR
Skiip CBF1
CDC25B|CDC25HU2 YWHAZ
CDC25B|CDC25HU2 YWHAH|YWHA1
CDC25B|CDC25HU2 YWHAB
CDC25B|CDC25HU2 YWHAH|YWHA1
CBF1 Skiip
YWHAH|YWHA1 CDC25B|CDC25HU2
YWHAZ CDC25B|CDC25HU2
NCOR2|SMRT Skiip
NCOR2|SMRT Skiip
YWHAH|YWHA1 CDC25B|CDC25HU2
